STATE_UT,DISTRICT,total_stations,future_critical_1y,future_critical_3y,early_warning_1y,recovery_expected_1y,avg_current_gavi,avg_forecast_1y_gavi,avg_forecast_3y_gavi
Punjab,S.A.S Nagar,7,1,2,0,0,71.3718055823319,69.52641702954986,65.83563992398578
Andhra Pradesh,Sri Sathya Sai,2,1,1,0,0,44.66911764705881,47.14460784313725,52.095588235294116
Andhra Pradesh,Tirupati,7,1,1,0,0,47.573487362250056,50.786136591193845,57.21143504908142
Arunachal Pradesh,Changlang,4,1,1,0,0,53.56505336768494,51.03221613912403,50.05308014354067
Arunachal Pradesh,Kamle,1,1,1,0,0,0.0,0.0,0.0
Telangana,Mahabubnagar,2,1,1,0,1,44.53125000000001,51.953125,59.37500000000001
Rajasthan,Nagaur,2,1,1,0,0,68.42105263157904,62.10526315789477,50.0
Telangana,Medchal Malkajgiri,6,1,1,0,0,61.13258148330809,64.88759278190287,70.5078789019773
Telangana,Medak,6,1,1,0,0,65.40576869524237,65.62671814864797,65.27496626180836
Telangana,Ranga Reddy,8,1,1,0,0,57.091946081606906,60.44437194455514,66.27473807374379
Telangana,Jayashankar Bhupalapally,6,1,1,0,0,71.17622464855826,70.58034153763906,69.87953138815207
Telangana,Jagitial,7,1,1,0,0,79.10369147659063,79.78167266906762,78.4590636254502
Andhra Pradesh,Sri Potti Sriramulu Nellore Manubolu,2,1,1,0,0,35.71428571428571,38.69047619047619,44.64285714285714
Telangana,Kumuram Bheem Asifabad Rebbena,1,1,1,0,0,0.0,0.0,0.0
Telangana,Khammam,5,1,1,0,0,36.87891663271443,39.43102522812667,44.535242418951164
Andhra Pradesh,Sri Potti Sriramulu Nellore,10,1,2,0,0,49.98413094513019,51.54891181616348,54.67847355823005
Andhra Pradesh,Prakasam,5,1,2,0,0,37.70347394540943,36.382591422914004,33.74082637792315
Andhra Pradesh,East GodavariAnaparthy,1,1,1,0,0,0.0,0.0,0.0
Andhra Pradesh,East GodavariGokavaram,2,1,1,0,0,26.683716965046894,25.381263616557735,27.12418300653595
Rajasthan,Sirohi,13,1,1,0,1,76.29002107241146,78.95074647881052,84.64881929884034
Andhra Pradesh,Ananthapuramu,4,1,1,0,0,36.3991192408227,39.49531274348056,45.68769974879628
Telangana,Bhadradri Kothagudem,5,1,1,0,1,72.53557744937055,76.96890394088669,80.07662835249042
Telangana,Hanumakonda,5,1,1,0,2,45.460317460317455,53.68707482993197,63.91836734693877
Uttar Pradesh,Shahjahanpur,2,1,1,0,0,36.904761904761905,31.23809523809525,28.000000000000025
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaRazole,1,1,1,0,0,0.0,0.0,0.0
Uttar Pradesh,Rampur,1,1,0,0,0,17.647058823529438,21.176470588235354,28.23529411764707
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaSakhinetipalle,1,1,1,0,0,0.0,0.0,0.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaMandapeta,1,1,1,0,0,0.0,0.0,0.0
Andhra Pradesh,Eluru,4,1,1,0,0,55.05229419703103,51.77640950667266,47.788742690058484
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaMamidikuduru,1,1,1,0,0,0.0,0.0,0.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaKothapeta,2,1,1,0,0,58.16053511705685,52.64882943143812,41.62541806020066
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAmbajipeta,2,1,1,0,0,50.0,50.0,50.0
Andhra Pradesh,Chittoor,3,1,0,0,1,45.191074883402166,52.72292069730253,66.41406330549542
Andhra Pradesh,Annamayya,5,0,0,0,0,62.02779227601923,66.1030666718216,72.13240334221422
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAmalapuram,3,0,1,1,0,43.51851851851851,42.168209876543195,39.46759259259258
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAtreyapuram,1,0,0,0,0,46.96969696969697,45.757575757575765,43.33333333333334
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaMalikipuram,2,0,1,0,0,50.00000000000001,49.58333333333336,48.75000000000004
West Bengal,Birbhum,3,0,1,0,2,63.08479532163742,67.70467836257312,73.33333333333334
West Bengal,Dakshin Dinajpur,1,0,0,0,0,28.57142857142856,34.28571428571428,45.71428571428567
Uttar Pradesh,Saharanpur,2,0,0,0,0,100.0,100.0,100.0
Uttar Pradesh,Sant Kabir Nagar,3,0,0,0,0,67.9454390451833,66.41091219096334,63.34185848252344
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaPamarru,1,0,0,0,0,50.0,48.80952380952381,46.42857142857143
West Bengal,Alipurduar,3,0,0,0,0,73.33333333333333,74.0,75.33333333333331
West Bengal,Bankura,5,0,0,0,3,58.912141503138855,70.69456980376663,88.93316645807258
Rajasthan,Shahpura,6,0,1,0,0,67.73074297724531,68.23176713749665,66.59312281730669
Tamil Nadu,Nagapattinam,1,0,1,1,0,55.00000000000001,41.99999999999999,15.999999999999993
Tamil Nadu,Theni,1,0,0,0,0,69.84126984126983,78.57142857142857,96.03174603174604
Telangana,Adilabad,1,0,0,0,0,100.0,100.0,100.0
Telangana,Hyderabad,1,0,0,0,0,100.0,100.0,100.0
Telangana,Jangaon,6,0,0,0,1,93.3243928915341,97.75726990400904,100.0
Telangana,Jogulamba Gadwal,3,0,0,0,1,79.48717948717949,82.47863247863249,81.25
Telangana,Kamareddy,5,0,0,0,1,97.93103448275863,100.0,100.0
Telangana,Karimnagar,5,0,0,0,3,62.72228465451466,73.17599876360043,88.25063211125159
Andhra Pradesh,Sri Potti Sriramulu Nellore Marripadu,1,0,0,0,0,100.0,100.0,100.0
Andhra Pradesh,Y.S.R.,6,0,0,0,0,67.63419968189704,73.64808547477134,81.39536416160594
Arunachal Pradesh,Lower Subansiri,1,0,0,0,0,83.33333333333333,80.95238095238095,76.1904761904762
Rajasthan,Neem Ka Thana,1,0,0,0,0,94.6236559139785,100.0,100.0
Rajasthan,Pali,5,0,0,0,1,78.3810624712264,84.15672851738427,87.38461538461539
Rajasthan,Phalodi,1,0,0,0,0,56.000000000000014,53.99999999999998,50.0
Telangana,Kumuram Bheem Asifabad Sirpur (T),1,0,1,0,0,33.33333333333333,29.166666666666675,20.833333333333336
Telangana,Narayanpet,3,0,0,0,0,65.35483738121467,68.61058570936672,73.39444008924802
Telangana,Nizamabad,4,0,0,0,0,94.50549450549451,96.88208616780045,97.78911564625851
Telangana,Rajanna Sircilla,1,0,0,0,0,68.67469879518072,76.30522088353413,91.56626506024097
Telangana,Sangareddy,7,0,0,0,0,76.3834536493265,79.6942144603082,85.62588267612043
Telangana,Siddipet,6,0,0,0,0,75.0338106733224,76.97987769746668,79.42273638343636
Arunachal Pradesh,Tirap,3,0,0,0,0,94.11764705882354,94.281045751634,94.6078431372549
Assam,Bajali,1,0,0,0,0,100.0,100.0,100.0
Assam,Barpeta,3,0,0,0,0,87.04467737139457,89.93969298245615,94.59978070175437
Assam,Chirang,1,0,0,0,0,87.87878787878786,90.40404040404039,95.45454545454545
Assam,Dibrugarh,4,0,0,0,0,67.8661616161616,70.08364898989899,74.51862373737373
Rajasthan,Jalore,4,0,0,0,1,67.67750176180408,73.94040068458673,83.1923890063425
Assam,Kamrup Metro,8,0,0,0,1,72.02020202020202,73.88652146464646,74.80666035353535
Assam,Nalbari,1,0,0,0,1,83.87096774193549,95.85253456221197,100.0
Assam,Tamulpur,2,0,1,1,0,66.15384615384615,63.717948717948715,55.00000000000001
Assam,Tinsukia,11,0,0,0,0,84.69322344322345,85.1800283050283,86.15363802863803
Punjab,Gurdaspur,7,0,2,0,0,65.81427442771981,64.16288737717309,59.73966509680797
Punjab,Shahid Bhagat Singh Nagar Aur,1,0,0,0,0,39.10891089108911,42.261594580510696,48.566961959353826
Arunachal Pradesh,Namsai,1,0,0,0,0,71.875,68.359375,61.328124999999986
Telangana,Wanaparthy,2,0,0,0,0,62.93260473588342,62.09016393442623,60.40528233151184
Telangana,Warangal,6,0,0,0,1,58.64725328190025,63.694798481333784,73.34897177261709
TelanganaYadadri Bhuvanagiri,Thurkapally,2,0,0,0,1,56.98462929475587,66.22965641952982,81.42857142857142
TelanganaYadadri Bhuvanagiri,Yadagirigutta,2,0,0,0,1,67.0246179966044,78.3370118845501,93.0263157894737
Tripura,West Tripura,2,0,0,0,0,37.012987012987004,39.258658008657996,43.749999999999986
Uttar Pradesh,Ambedkar Nagar,3,0,1,0,0,76.37721755368814,72.97541238717709,66.17180205415501
Assam,Hojai,3,0,0,0,0,61.654719235364404,61.13863287250384,60.10646014678272
Jammu and Kashmir,Udhampur,7,0,0,0,0,52.30050375587901,56.33408392092469,64.40124425101605
Jharkhand,Deoghar,2,0,0,0,0,59.52380952380952,60.342261904761905,61.97916666666667
Jharkhand,Dhanbad,10,0,0,0,1,72.75310440298354,73.03602193423909,73.60185699675023
Jharkhand,Giridih,9,0,0,0,1,72.62463440826015,74.86633979600464,75.24175979683622
Jharkhand,Ranchi,1,0,0,0,1,86.36363636363636,100.0,100.0
Assam,Jorhat,10,0,0,0,2,72.19551546181981,75.35186521395761,78.92898315452663
Uttar Pradesh,Bahraich,1,0,0,0,0,100.0,100.0,100.0
Uttar Pradesh,Bareilly,3,0,0,0,0,72.3076923076923,78.51851851851849,87.60683760683759
Uttar Pradesh,Bijnor,2,0,0,0,0,57.088122605364006,60.37675606641123,66.95402298850578
Madhya Pradesh,Niwari,8,0,0,0,2,80.51855917757817,84.81222481222481,85.4527417027417
Madhya Pradesh,Raisen,1,0,0,0,0,100.0,100.0,100.0
Madhya Pradesh,Shajapur,2,0,0,0,1,82.92682926829268,87.97909407665506,98.08362369337979
Madhya Pradesh,Ujjain,3,0,0,0,3,72.73097273097274,85.05494505494507,94.6031746031746
Meghalaya,East Khasi Hills,7,0,0,0,0,72.96157593472172,71.66000639386189,69.05686731214226
Meghalaya,Ri Bhoi,1,0,0,0,0,25.000000000000032,30.00000000000004,40.00000000000005
Meghalaya,West Jaintia Hills,2,0,0,0,0,100.0,100.0,100.0
Chhattisgarh,Jashpur,1,0,0,0,1,80.76923076923077,97.43589743589742,100.0
Chhattisgarh,Surguja,1,0,0,1,0,100.0,86.27118644067797,58.81355932203392
Delhi,Nazul Land,2,0,0,0,0,88.63636363636363,91.88311688311688,98.37662337662337
Delhi,New Delhi,5,0,0,0,1,94.28367346938775,99.46666666666667,100.0
Delhi,Shahdara,1,0,0,0,0,100.0,100.0,100.0
Delhi,South,3,0,0,0,0,75.38392050587174,78.99728997289976,82.52032520325207
Delhi,South East,2,0,0,0,0,67.49999999999999,71.0,77.99999999999997
Madhya Pradesh,Maihar,2,0,0,0,1,36.23713305375524,48.95031134832888,74.37666793747617
Madhya Pradesh,Narmadapuram,1,0,0,0,0,72.22222222222221,72.22222222222221,72.22222222222221
Uttar Pradesh,Chitrakoot,1,0,0,0,0,50.00000000000002,60.00000000000001,80.00000000000004
Uttar Pradesh,Gonda,2,0,0,0,0,73.07692307692307,71.15384615384615,67.3076923076923
Uttar Pradesh,Hamirpur,3,0,0,0,0,100.0,100.0,100.0
Uttar Pradesh,Hathras,2,0,1,0,0,52.777777777777764,45.46296296296295,30.833333333333318
Karnataka,Raichur,1,0,0,0,0,62.06896551724138,63.184584178498994,65.41582150101421
Karnataka,Shivamogga,1,0,0,0,0,93.90243902439023,94.77351916376307,96.51567944250871
Madhya Pradesh,Anuppur,2,0,1,0,0,34.61768219832736,35.202608522500995,36.37246117084826
Madhya Pradesh,Burhanpur,11,0,1,0,0,79.75564012242958,80.06410850141103,79.12893882921868
Madhya Pradesh,Dindori,1,0,0,0,0,91.30434782608697,97.82608695652173,100.0
Chhattisgarh,Balod,1,0,0,0,0,94.82758620689656,99.6551724137931,100.0
Karnataka,Chamarajanagara,1,0,0,0,1,41.269841269841265,54.232804232804234,80.15873015873017
Karnataka,Dakshina Kannada,1,0,0,0,0,89.39393939393939,89.20454545454545,88.82575757575756
Karnataka,Davangere,1,0,0,0,0,60.0,50.15873015873016,30.476190476190467
Karnataka,Kalaburagi,2,0,1,0,1,46.33333333333333,49.03209876543209,54.42962962962962
Delhi,South West,9,0,0,0,3,89.17126132047102,95.13239008963708,98.34656084656085
Haryana,Hisar,12,0,0,0,3,77.5438093482792,82.08232345922418,87.23891712798257
Karnataka,Mandya,1,0,0,0,0,71.42857142857142,61.904761904761905,42.85714285714285
Uttar Pradesh,Kanpur Dehat,3,0,0,0,0,89.74358974358974,90.17094017094017,91.02564102564104
Uttar Pradesh,Kaushambi,2,0,0,0,0,37.08791208791207,36.141636141636155,34.24908424908426
Uttar Pradesh,Kheri,1,0,0,0,0,83.33333333333333,79.99999999999999,73.33333333333331
Uttar Pradesh,Kushinagar,1,0,0,0,0,54.54545454545454,46.96969696969698,31.818181818181824
Uttar Pradesh,Mathura,8,0,0,0,1,86.56994047619047,89.59325396825398,88.86904761904762
Andhra Pradesh,Nandyal,5,0,0,0,0,66.40822140822141,69.9233894412466,75.19548374905519
Uttar Pradesh,Shrawasti,10,0,0,0,0,89.81986215538848,89.234283625731,88.06312656641605
Uttar Pradesh,Siddharthnagar,7,0,1,0,0,71.5262139338494,66.54248768472907,56.5750351864884
Uttar Pradesh,Unnao,2,0,0,0,0,100.0,100.0,100.0
Uttar Pradesh,Varanasi,1,0,0,0,0,62.637362637362635,62.417582417582416,61.97802197802198
West Bengal,Kolkata,1,0,0,0,0,100.0,100.0,100.0
West Bengal,Malda,4,0,0,0,2,54.457798308800506,64.24336718715047,77.74654377880185
West Bengal,North 24 Parganas,8,0,0,0,4,82.88409121671775,88.70767620270188,91.08163265306122
West Bengal,Paschim Medinipur,1,0,0,0,1,72.72727272727273,87.27272727272727,100.0
West Bengal,Purba Bardhaman,2,0,0,0,0,78.0982905982906,79.87179487179488,83.41880341880342
West Bengal,Purba Medinipur,1,0,0,0,1,75.67567567567568,90.8108108108108,100.0
West Bengal,Purulia,16,0,0,0,9,85.71022936270478,94.51174242424243,97.74545454545455
Haryana,Mahendragarh,1,0,0,0,0,36.53846153846154,34.254807692307686,29.6875
Haryana,Nuh,6,0,0,0,2,87.98707541374152,93.3358972701289,98.22591847836645
Jammu and Kashmir,Reasi,7,0,0,0,0,60.72406037513819,61.87860404372551,64.18769138090018
Uttar Pradesh,Rae Bareli,7,0,0,0,0,89.18682594989215,89.75786737459211,90.89995022399204
